                  epoch,        train/giou_loss,         train/cls_loss,          train/l1_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),          val/giou_loss,           val/cls_loss,            val/l1_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0403,                 6.6453,                0.49402,                0.40537,                0.33834,                0.23574,                0.16145,                 0.4837,                 1.0904,                0.22843,             0.00030025,             0.00030025,             0.00030025
                      2,                0.47246,                0.93302,                0.17624,                0.53123,                0.56069,                0.51217,                0.36299,                0.34579,                0.91166,                0.15206,             0.00059727,             0.00059727,             0.00059727
                      3,                 0.4485,                0.85248,                0.16692,                0.49748,                0.47694,                0.41509,                0.28181,                0.56465,                 0.9092,                0.29275,              0.0008883,              0.0008883,              0.0008883
                      4,                0.45729,                0.83783,                0.17127,                0.54792,                0.47476,                0.45731,                0.32436,                0.43618,                 0.9664,                0.19682,               0.000882,               0.000882,               0.000882
                      5,                0.42273,                0.80925,                0.15835,                0.58983,                0.57363,                 0.5423,                0.37568,                0.35195,                0.87815,                0.16181,               0.000882,               0.000882,               0.000882
                      6,                0.41972,                0.78086,                0.15494,                0.62412,                0.56456,                0.54158,                0.40258,                0.33747,                0.86038,                0.16084,               0.000873,               0.000873,               0.000873
                      7,                0.40321,                 0.7778,                0.15006,                0.53844,                0.56368,                0.51537,                0.37552,                0.32822,                 1.0167,                0.14325,               0.000864,               0.000864,               0.000864
                      8,                0.39991,                0.75882,                0.14669,                  0.604,                0.61369,                0.55002,                0.39883,                0.34319,                0.88127,                0.15639,             0.00085501,             0.00085501,             0.00085501
                      9,                0.38962,                0.73569,                0.14226,                0.66629,                0.58512,                0.55703,                0.40516,                0.33107,                0.87833,                0.14908,             0.00084601,             0.00084601,             0.00084601
                     10,                0.39115,                0.71165,                0.14244,                 0.6363,                0.58978,                0.57472,                0.41089,                 0.3256,                0.84097,                0.14614,             0.00083701,             0.00083701,             0.00083701
                     11,                   0.37,                0.74041,                0.13549,                0.62623,                0.64248,                0.61421,                0.44379,                0.31347,                0.85785,                0.14245,             0.00082801,             0.00082801,             0.00082801
                     12,                0.37052,                0.71117,                0.13473,                0.61983,                0.61468,                0.58295,                0.42329,                0.32006,                0.83934,                0.15054,             0.00081901,             0.00081901,             0.00081901
                     13,                0.38169,                0.71419,                0.13747,                0.56343,                0.58728,                0.51602,                0.37375,                0.37925,                0.91535,                0.18164,             0.00081001,             0.00081001,             0.00081001
                     14,                0.36947,                0.70278,                0.13587,                0.66045,                0.63121,                0.60715,                0.44337,                0.34992,                0.84191,                 0.1669,             0.00080101,             0.00080101,             0.00080101
                     15,                0.36808,                0.70869,                0.13712,                0.63809,                0.62011,                0.60176,                0.42926,                0.34807,                0.82095,                0.16143,             0.00079201,             0.00079201,             0.00079201
                     16,                0.35509,                0.69713,                0.13119,                0.59655,                 0.6107,                0.56496,                0.40315,                0.34368,                0.83767,                0.16016,             0.00078301,             0.00078301,             0.00078301
                     17,                0.36636,                0.71118,                0.12767,                0.65268,                0.61356,                0.60304,                0.43689,                0.32475,                0.82468,                0.15332,             0.00077401,             0.00077401,             0.00077401
                     18,                 0.3549,                0.67659,                0.12881,                0.63973,                0.63071,                0.59927,                0.42376,                0.33101,                0.84241,                0.15122,             0.00076501,             0.00076501,             0.00076501
                     19,                 0.3553,                0.66639,                0.12732,                0.61203,                0.64664,                 0.5969,                0.42753,                 0.3195,                0.91114,                0.14931,             0.00075602,             0.00075602,             0.00075602
                     20,                0.34934,                 0.6595,                0.12807,                0.61626,                0.64238,                0.58985,                0.42784,                 0.3212,                0.81699,                0.14605,             0.00074702,             0.00074702,             0.00074702
                     21,                0.34623,                0.64402,                0.12466,                 0.6343,                0.66748,                0.62016,                0.45406,                0.32486,                0.81886,                0.14796,             0.00073802,             0.00073802,             0.00073802
                     22,                0.33675,                0.61971,                0.11827,                0.62577,                0.64352,                0.60867,                0.45305,                0.30864,                0.85692,                0.14068,             0.00072902,             0.00072902,             0.00072902
                     23,                0.33172,                0.62088,                0.11937,                0.68265,                0.65488,                0.64651,                0.47903,                0.31589,                0.77427,                0.14807,             0.00072002,             0.00072002,             0.00072002
                     24,                0.33423,                0.63667,                 0.1194,                0.64589,                0.62476,                0.60785,                0.45955,                0.30136,                0.81435,                0.13191,             0.00071102,             0.00071102,             0.00071102
                     25,                0.33725,                0.60798,                0.12196,                0.66784,                  0.616,                0.62064,                0.44894,                0.32968,                0.86646,                0.15376,             0.00070202,             0.00070202,             0.00070202
                     26,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00069302,             0.00069302,             0.00069302
                     27,                0.31886,                0.58723,                0.11343,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00068402,             0.00068402,             0.00068402
                     28,                0.32717,                0.60576,                 0.1174,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00067502,             0.00067502,             0.00067502
                     29,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00066602,             0.00066602,             0.00066602
                     30,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00065703,             0.00065703,             0.00065703
                     31,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00064803,             0.00064803,             0.00064803
                     32,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00063903,             0.00063903,             0.00063903
                     33,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00063003,             0.00063003,             0.00063003
                     34,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00062103,             0.00062103,             0.00062103
                     35,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00061203,             0.00061203,             0.00061203
                     36,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00060303,             0.00060303,             0.00060303
                     37,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00059403,             0.00059403,             0.00059403
                     38,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00058503,             0.00058503,             0.00058503
                     39,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00057603,             0.00057603,             0.00057603
                     40,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00056703,             0.00056703,             0.00056703
                     41,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00055804,             0.00055804,             0.00055804
                     42,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00054904,             0.00054904,             0.00054904
                     43,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00054004,             0.00054004,             0.00054004
                     44,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00053104,             0.00053104,             0.00053104
                     45,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00052204,             0.00052204,             0.00052204
                     46,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00051304,             0.00051304,             0.00051304
                     47,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00050404,             0.00050404,             0.00050404
                     48,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00049504,             0.00049504,             0.00049504
                     49,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00048604,             0.00048604,             0.00048604
                     50,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00047704,             0.00047704,             0.00047704
                     51,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00046804,             0.00046804,             0.00046804
                     52,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00045904,             0.00045904,             0.00045904
                     53,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00045005,             0.00045005,             0.00045005
                     54,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00044105,             0.00044105,             0.00044105
                     55,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00043205,             0.00043205,             0.00043205
                     56,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00042305,             0.00042305,             0.00042305
                     57,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00041405,             0.00041405,             0.00041405
                     58,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00040505,             0.00040505,             0.00040505
                     59,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00039605,             0.00039605,             0.00039605
                     60,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00038705,             0.00038705,             0.00038705
                     61,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00037805,             0.00037805,             0.00037805
                     62,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00036905,             0.00036905,             0.00036905
                     63,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00036005,             0.00036005,             0.00036005
                     64,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00035106,             0.00035106,             0.00035106
                     65,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00034206,             0.00034206,             0.00034206
                     66,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00033306,             0.00033306,             0.00033306
                     67,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00032406,             0.00032406,             0.00032406
                     68,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00031506,             0.00031506,             0.00031506
                     69,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00030606,             0.00030606,             0.00030606
                     70,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00029706,             0.00029706,             0.00029706
                     71,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00028806,             0.00028806,             0.00028806
                     72,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00027906,             0.00027906,             0.00027906
                     73,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00027006,             0.00027006,             0.00027006
                     74,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00026106,             0.00026106,             0.00026106
                     75,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00025207,             0.00025207,             0.00025207
                     76,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00024307,             0.00024307,             0.00024307
                     77,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00023407,             0.00023407,             0.00023407
                     78,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00022507,             0.00022507,             0.00022507
                     79,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00021607,             0.00021607,             0.00021607
                     80,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00020707,             0.00020707,             0.00020707
                     81,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00019807,             0.00019807,             0.00019807
                     82,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00018907,             0.00018907,             0.00018907
                     83,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00018007,             0.00018007,             0.00018007
                     84,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00017107,             0.00017107,             0.00017107
                     85,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00016207,             0.00016207,             0.00016207
                     86,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00015308,             0.00015308,             0.00015308
                     87,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00014408,             0.00014408,             0.00014408
                     88,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00013508,             0.00013508,             0.00013508
                     89,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00012608,             0.00012608,             0.00012608
                     90,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00011708,             0.00011708,             0.00011708
                     91,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             0.00010808,             0.00010808,             0.00010808
                     92,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             9.9081e-05,             9.9081e-05,             9.9081e-05
                     93,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             9.0082e-05,             9.0082e-05,             9.0082e-05
                     94,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             8.1083e-05,             8.1083e-05,             8.1083e-05
                     95,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             7.2084e-05,             7.2084e-05,             7.2084e-05
                     96,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             6.3085e-05,             6.3085e-05,             6.3085e-05
                     97,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             5.4086e-05,             5.4086e-05,             5.4086e-05
                     98,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             4.5086e-05,             4.5086e-05,             4.5086e-05
                     99,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             3.6087e-05,             3.6087e-05,             3.6087e-05
                    100,                    nan,                    nan,                    nan,                0.66784,                  0.616,                0.62064,                0.44894,                    nan,                    nan,                    nan,             2.7088e-05,             2.7088e-05,             2.7088e-05
